301;302;303;304;305;306;307;308;309;310
25.4;24.4;27.48;26.71;25.56;28.53;28.49;22.97;25;22
25.4;24.4;27.48;26.71;25.56;28.53;28.49;22.97;25;22
25.2;24;27.07;25.46;25.29;27.31;27.21;22.7;24.5;21.9
25.1;24.08;26.67;24.42;25.31;25.92;25.7;22.56;24.2;21.9
24.87;24.06;26.55;23.7;25.26;24.25;22.23;22.54;23.9;22
25;23.47;26.15;23.24;24.36;23.23;21.83;22.63;23.6;21.9
24.6;24.02;25.94;22.92;24.24;22.61;21.99;22.72;23.5;22
23.49;25.08;26.58;24.06;25.16;23.47;21.87;22.88;23.5;23
24.1;26.22;27.82;25.52;26.57;24.87;22.4;23.69;23.3;24.1
25;28.35;29.21;27.39;28;27.8;23.17;25.49;21.5;25.4
25.7;29.5;30.1;28.88;29.5;29.79;24.28;26.5;20.7;26.6
25.6;31.11;31.82;30.23;30.94;30.94;26.05;27.6;20.6;27.7
26.1;32.52;32.87;31.51;32.24;32.16;27.07;29.3;20.8;29.2
27.5;33.42;34.05;32.67;33.32;33.23;28;30.1;21.3;29.9
28.3;34.23;34.8;34.03;33.84;34.26;29.12;31.1;22;30.2
29;35.06;35.26;34.66;34.64;34.03;24.4;31.4;22.8;30.9
28.6;34.98;34.85;34.95;35.16;32.43;21.98;31.7;23.4;31.3
28.1;34.55;34.77;34.76;35.01;32.86;22.24;31;23.6;31
27.1;33.86;33.74;33.76;33.97;32.39;22.25;29.6;23.4;30
26.5;32.85;32.71;32.76;32.44;31.46;22.43;28.4;23.1;27.9
26.2;32.17;31.83;31.93;31.83;30.85;22.42;27.7;22.9;27.3
25.8;31.53;31.4;30.83;30.86;30.49;22.48;27.2;22.6;27.6
25.65;30.32;30.88;29.11;30.52;29.63;22.65;27.2;22.5;27
25;29.23;29.92;27.63;30.46;29.25;22.79;26.4;22.3;26.5
24.8;28.35;28.64;26.55;29.7;28.69;22.79;25.7;22.1;26.1
